Application No,Token Fee
HITS/2020/BBA/202328,50000
HITS/2020/BCA/202325,50000
HITS/2020/BBA/202324,50000
HITS/2020/BBA/202323,50000
HITS/2020/B.SC/202321,50000
HITS/2020/B.SC/202320,50000
HITS/2020/B.SC/202319,50000
HITS/2020/B.SC/202317,50000
HITS/2020/B.SC/202315,50000
HITS/2020/BA/202314,50000
HITS/2020/B.SC/202311,50000
HITS/2020/B.COM/202310,50000
HITS/2020/B.SC/202309,50000
HITS/2020/BCA/202301,50000
HITS/2020/BA/202294,50000
HITS/2020/BCA/202287,50000
HITS/2020/BCA/202285,50000
HITS/2020/BA/202282,50000
HITS/2020/BCA/202280,50000
HITS/2020/BBA/202279,50000
HITS/2020/BCA/202278,50000
HITS/2020/B.COM/202276,50000
HITS/2020/BBA/202274,50000
HITS/2020/BA/202275,50000
HITS/2020/B.COM/202271,50000
HITS/2020/B.COM/202270,50000
HITS/2020/BA/202268,50000
HITS/2020/BCA/202265,50000
HITS/2020/BBA/202260,50000
HITS/2020/B.COM/202251,50000
HITS/2020/BA/202250,50000
HITS/2020/B.COM/202246,50000
HITS/2020/B.COM/202245,50000
HITS/2020/BA/202241,50000
HITS/2020/BBA/202239,50000
HITS/2020/BCA/202238,50000
HITS/2020/B.COM/202237,50000
HITS/2020/B.COM/202233,50000
HITS/2020/B.COM/202232,50000
HITS/2020/B.COM/202229,50000
HITS/2020/BCA/202228,50000
HITS/2020/B.SC/202226,50000
HITS/2020/B.COM/202222,50000
HITS/2020/B.SC/202220,50000
HITS/2020/B.SC/202219,50000
HITS/2020/BA/202218,50000
HITS/2020/B.COM/202217,50000
HITS/2020/B.COM/202215,50000
HITS/2020/BBA/202214,50000
HITS/2020/B.SC/202213,50000
HITS/2020/BBA/202208,50000
HITS/2020/BBA/202203,50000
HITS/2020/B.COM/202201,50000
HITS/2020/BA/202200,50000
HITS/2020/BCA/202195,50000
HITS/2020/BA/202194,50000
HITS/2020/B.SC/202193,50000
HITS/2020/BBA/202188,50000
HITS/2020/B.COM/202187,50000
HITS/2020/BBA/202180,50000
HITS/2020/BCA/202179,50000
HITS/2020/B.SC/202177,50000
HITS/2020/BA/202175,50000
HITS/2020/B.SC/202174,50000
HITS/2020/B.SC/202173,50000
HITS/2020/BA/202168,50000
HITS/2020/BBA/202166,50000
HITS/2020/B.COM/202165,50000
HITS/2020/BBA/202163,50000
HITS/2020/BA/202159,50000
HITS/2020/BBA/202157,50000
HITS/2020/BBA/202148,50000
HITS/2020/B.SC/202147,50000
HITS/2020/BCA/202144,50000
HITS/2020/B.SC/202142,50000
HITS/2020/B.SC/202141,50000
HITS/2020/BA/202139,50000
HITS/2020/BA/202136,50000
HITS/2020/BBA/202132,50000
HITS/2020/BCA/202131,50000
HITS/2020/BBA/202125,50000
HITS/2020/B.COM/202124,50000
HITS/2020/B.COM/202118,50000
HITS/2020/BBA/202117,50000
HITS/2020/B.SC/202113,50000
HITS/2020/BBA/202112,50000
HITS/2020/BBA/202109,50000
HITS/2020/BA/202105,50000
HITS/2020/BA/202098,50000
HITS/2020/B.SC/202097,50000
HITS/2020/BBA/202092,50000
HITS/2020/BA/202089,50000
HITS/2020/B.SC/202083,50000
HITS/2020/B.SC/202080,50000
HITS/2020/BBA/202075,50000
HITS/2020/B.COM/202074,50000
HITS/2020/BBA/202073,50000
HITS/2020/BBA/202070,50000
HITS/2020/BCA/202068,50000
HITS/2020/BBA/202067,50000
HITS/2020/B.SC/202066,50000
HITS/2020/B.SC/202064,50000
HITS/2020/B.COM/202063,50000
HITS/2020/B.SC/202062,50000
HITS/2020/B.SC/202060,50000
HITS/2020/BBA/202057,50000
HITS/2020/B.SC/202048,50000
HITS/2020/B.SC/202044,50000
HITS/2020/B.SC/202026,50000
HITS/2020/BCA/202023,50000
HITS/2020/BBA/202021,50000
HITS/2020/B.COM/202020,50000
HITS/2020/B.SC/202019,50000
HITS/2020/BA/202018,50000
HITS/2020/B.SC/202012,50000
HITS/2020/B.COM/202006,50000
HITS/2020/BA/202005,50000
HITS/2020/BA/202001,50000
HITS/2020/B.SC/201999,50000
HITS/2020/BBA/201996,50000
HITS/2020/B.SC/201995,50000
HITS/2020/BA/201991,50000
HITS/2020/B.COM/201988,50000
HITS/2020/BA/201984,50000
HITS/2020/B.SC/201982,50000
HITS/2020/B.SC/201981,50000
HITS/2020/BA/201978,50000
HITS/2020/BBA/201972,50000
HITS/2020/BCA/201971,50000
HITS/2020/B.COM/201967,50000
HITS/2020/B.SC/201961,50000
HITS/2020/B.SC/201960,50000
HITS/2020/B.SC/201949,50000
HITS/2020/BBA/201941,50000
HITS/2020/BBA/201937,50000
HITS/2020/B.COM/201936,50000
HITS/2020/BBA/201926,50000
HITS/2020/BBA/201925,50000
HITS/2020/BBA/201922,50000
HITS/2020/BBA/201911,50000
HITS/2020/BA/201907,50000
HITS/2020/BCA/201906,50000
HITS/2020/BBA/201898,50000
HITS/2020/BA/201893,50000
HITS/2020/BBA/201892,50000
HITS/2020/BA/201886,50000
HITS/2020/B.SC/201885,50000
HITS/2020/B.SC/201880,50000
HITS/2020/B.SC/201878,50000
HITS/2020/B.COM/201858,50000
HITS/2020/BA/201856,50000
HITS/2020/B.COM/201854,50000
HITS/2020/BBA/201850,50000
HITS/2020/B.SC/201849,50000
HITS/2020/BBA/201827,50000
HITS/2020/B.SC/201810,50000
HITS/2020/BBA/201808,50000
HITS/2020/BA/201803,50000
HITS/2020/B.SC/201793,50000
HITS/2020/BCA/201787,50000
HITS/2020/B.SC/201786,50000
HITS/2020/B.SC/201784,50000
HITS/2020/B.SC/201781,50000
HITS/2020/BCA/201779,50000
HITS/2020/B.COM/201771,50000
HITS/2020/B.COM/201770,50000
HITS/2020/B.SC/201756,50000
HITS/2020/B.SC/201755,50000
HITS/2020/B.SC/201750,50000
HITS/2020/BBA/201742,50000
HITS/2020/B.COM/201741,50000
HITS/2020/B.SC/201737,50000
HITS/2020/BA/201724,50000
HITS/2020/BCA/201717,50000
HITS/2020/B.COM/201713,50000
HITS/2020/BBA/201711,50000
HITS/2020/BCA/201705,50000
HITS/2020/B.COM/201702,50000
HITS/2020/BA/201700,50000
HITS/2020/BA/201698,50000
HITS/2020/B.SC/201685,50000
HITS/2020/BBA/201681,50000
HITS/2020/BA/201672,50000
HITS/2020/BBA/201661,50000
HITS/2020/B.COM/201655,50000
HITS/2020/B.COM/201651,50000
HITS/2020/BBA/201640,50000
HITS/2020/B.COM/201632,50000
HITS/2020/BCA/201628,50000
HITS/2020/BBA/201627,50000
HITS/2020/BCA/201625,50000
HITS/2020/B.SC/201624,50000
HITS/2020/B.SC/201623,50000
HITS/2020/BBA/201621,50000
HITS/2020/BA/201614,50000
HITS/2020/B.SC/201612,50000
HITS/2020/BBA/201607,50000
HITS/2020/B.SC/201599,50000
HITS/2020/BA/201581,50000
HITS/2020/BA/201580,50000
HITS/2020/BA/201579,50000
HITS/2020/B.SC/201578,50000
HITS/2020/BBA/201576,50000
HITS/2020/BA/201572,50000
HITS/2020/BA/201568,50000
HITS/2020/BA/201565,50000
HITS/2020/B.SC/201563,50000
HITS/2020/B.COM/201560,50000
HITS/2020/B.SC/201558,50000
HITS/2020/BA/201531,50000
HITS/2020/BBA/201524,50000
HITS/2020/B.SC/201519,50000
HITS/2020/B.SC/201514,50000
HITS/2020/BA/201512,50000
HITS/2020/BBA/201508,50000
HITS/2020/BBA/201505,50000
HITS/2020/B.SC/201493,50000
HITS/2020/BCA/201484,50000
HITS/2020/BBA/201483,50000
HITS/2020/B.SC/201481,50000
HITS/2020/BA/201480,50000
HITS/2020/B.SC/201477,50000
HITS/2020/B.SC/201460,50000
HITS/2020/B.SC/201457,50000
HITS/2020/B.SC/201455,50000
HITS/2020/BCA/201446,50000
HITS/2020/BCA/201437,50000
HITS/2020/BBA/201430,50000
HITS/2020/B.SC/201424,50000
HITS/2020/BA/201417,50000
HITS/2020/BA/201416,50000
HITS/2020/BBA/201411,50000
HITS/2020/BCA/201409,50000
HITS/2020/B.COM/201392,50000
HITS/2020/BCA/201389,50000
HITS/2020/BBA/201388,50000
HITS/2020/BBA/201387,50000
HITS/2020/B.SC/201383,50000
HITS/2020/B.SC/201382,50000
HITS/2020/B.COM/201381,50000
HITS/2020/BCA/201377,50000
HITS/2020/BCA/201366,50000
HITS/2020/BCA/201361,50000
HITS/2020/BA/201356,50000
HITS/2020/BA/201349,50000
HITS/2020/B.SC/201348,50000
HITS/2020/B.COM/201347,50000
HITS/2020/BBA/201340,50000
HITS/2020/BA/201333,50000
HITS/2020/B.SC/201327,50000
HITS/2020/B.SC/201325,50000
HITS/2020/BBA/201319,50000
HITS/2020/BBA/201318,50000
HITS/2020/BA/201311,50000
HITS/2020/BBA/201304,50000
HITS/2020/B.SC/201288,50000
HITS/2020/B.COM/201286,50000
HITS/2020/B.COM/201285,50000
HITS/2020/B.SC/201284,50000
HITS/2020/B.COM/201281,50000
HITS/2020/B.SC/201279,50000
HITS/2020/BBA/201277,50000
HITS/2020/B.COM/201275,50000
HITS/2020/B.SC/201274,50000
HITS/2020/B.SC/201268,50000
HITS/2020/B.SC/201258,50000
HITS/2020/BCA/201251,50000
HITS/2020/BBA/201248,50000
HITS/2020/B.SC/201245,50000
HITS/2020/B.SC/201242,50000
HITS/2020/B.COM/201241,50000
HITS/2020/BCA/201235,50000
HITS/2020/BA/201228,50000
HITS/2020/BBA/201225,50000
HITS/2020/B.COM/201222,50000
HITS/2020/B.COM/201221,50000
HITS/2020/BBA/201220,50000
HITS/2020/B.SC/201218,50000
HITS/2020/BBA/201215,50000
HITS/2020/BA/201210,50000
HITS/2020/BBA/201204,50000
HITS/2020/B.SC/201203,50000
HITS/2020/BA/201201,50000
HITS/2020/BA/201194,50000
HITS/2020/B.SC/201186,50000
HITS/2020/B.SC/201184,50000
HITS/2020/BBA/201171,50000
HITS/2020/B.SC/201168,50000
HITS/2020/BCA/201163,50000
HITS/2020/BBA/201161,50000
HITS/2020/B.COM/201151,50000
HITS/2020/B.SC/201146,50000
HITS/2020/B.SC/201144,50000
HITS/2020/B.SC/201143,50000
HITS/2020/BBA/201140,50000
HITS/2020/BCA/201138,50000
HITS/2020/B.SC/201136,50000
HITS/2020/B.COM/201135,50000
HITS/2020/BBA/201131,50000
HITS/2020/BBA/201128,50000
HITS/2020/BA/201126,50000
HITS/2020/BA/201124,50000
HITS/2020/BBA/201118,50000
HITS/2020/B.SC/201112,50000
HITS/2020/B.COM/201111,50000
HITS/2020/B.SC/201110,50000
HITS/2020/B.SC/201109,50000
HITS/2020/BCA/201107,50000
HITS/2020/B.COM/201106,50000
HITS/2020/BBA/201105,50000
HITS/2020/B.SC/201104,50000
HITS/2020/B.SC/201094,50000
HITS/2020/BA/201086,50000
HITS/2020/B.SC/201085,50000
HITS/2020/BCA/201083,50000
HITS/2020/BCA/201081,50000
HITS/2020/B.SC/201073,50000
HITS/2020/B.SC/201071,50000
HITS/2020/BBA/201070,50000
HITS/2020/B.COM/201065,50000
HITS/2020/BCA/201060,50000
HITS/2020/B.COM/201057,50000
HITS/2020/BCA/201054,50000
HITS/2020/BBA/201046,50000
HITS/2020/BA/201042,50000
HITS/2020/BBA/201031,50000
HITS/2020/B.COM/201028,50000
HITS/2020/B.COM/201024,50000
HITS/2020/BBA/201021,50000
HITS/2020/B.SC/201017,50000
HITS/2020/BA/201016,50000
HITS/2020/B.SC/201014,50000
HITS/2020/B.SC/201013,50000
HITS/2020/BA/201010,50000
HITS/2020/BA/201007,50000
HITS/2020/BBA/200997,50000
HITS/2020/B.SC/200996,50000
HITS/2020/B.SC/200992,50000
HITS/2020/BA/200989,50000
HITS/2020/BBA/200988,50000
HITS/2020/BBA/200987,50000
HITS/2020/BA/200976,50000
HITS/2020/B.SC/200972,50000
HITS/2020/BA/200971,50000
HITS/2020/B.SC/200964,50000
HITS/2020/BBA/200943,50000
HITS/2020/B.SC/200940,50000
HITS/2020/B.SC/200933,50000
HITS/2020/BCA/200931,50000
HITS/2020/BBA/200930,50000
HITS/2020/BBA/200924,50000
HITS/2020/B.COM/200922,50000
HITS/2020/B.SC/200920,50000
HITS/2020/B.SC/200912,50000
HITS/2020/BCA/200903,50000
HITS/2020/B.SC/200899,50000
HITS/2020/BBA/200898,50000
HITS/2020/B.COM/200896,50000
HITS/2020/BBA/200891,50000
HITS/2020/BBA/200884,50000
HITS/2020/B.COM/200871,50000
HITS/2020/B.COM/200870,50000
HITS/2020/BCA/200866,50000
HITS/2020/B.SC/200859,50000
HITS/2020/BBA/200854,50000
HITS/2020/BBA/200850,50000
HITS/2020/B.SC/200847,50000
HITS/2020/B.SC/200843,50000
HITS/2020/BBA/200839,50000
HITS/2020/B.SC/200837,50000
HITS/2020/BBA/200835,50000
HITS/2020/BA/200831,50000
HITS/2020/B.SC/200826,50000
HITS/2020/BBA/200825,50000
HITS/2020/B.SC/200823,50000
HITS/2020/BBA/200819,50000
HITS/2020/B.SC/200816,50000
HITS/2020/B.SC/200815,50000
HITS/2020/B.SC/200813,50000
HITS/2020/B.COM/200812,50000
HITS/2020/B.COM/200808,50000
HITS/2020/BA/200807,50000
HITS/2020/BA/200799,50000
HITS/2020/BBA/200796,50000
HITS/2020/BA/200780,50000
HITS/2020/BA/200778,50000
HITS/2020/BBA/200775,50000
HITS/2020/BBA/200773,50000
HITS/2020/BA/200766,50000
HITS/2020/BA/200765,50000
HITS/2020/BA/200758,50000
HITS/2020/B.SC/200756,50000
HITS/2020/B.COM/200751,50000
HITS/2020/BBA/200733,50000
HITS/2020/BA/200732,50000
HITS/2020/B.COM/200731,50000
HITS/2020/B.SC/200728,50000
HITS/2020/B.COM/200727,50000
HITS/2020/BCA/200722,50000
HITS/2020/B.SC/200718,50000
HITS/2020/BCA/200708,50000
HITS/2020/B.COM/200705,50000
HITS/2020/BBA/200704,50000
HITS/2020/BCA/200702,50000
HITS/2020/B.SC/200695,50000
HITS/2020/BBA/200694,50000
HITS/2020/BA/200693,50000
HITS/2020/B.COM/200692,50000
HITS/2020/B.SC/200688,50000
HITS/2020/BA/200684,50000
HITS/2020/BBA/200683,50000
HITS/2020/BBA/200676,50000
HITS/2020/BBA/200671,50000
HITS/2020/B.SC/200664,50000
HITS/2020/B.SC/200662,50000
HITS/2020/B.COM/200657,50000
HITS/2020/BA/200654,50000
HITS/2020/B.SC/200653,50000
HITS/2020/B.SC/200643,50000
HITS/2020/B.SC/200640,50000
HITS/2020/B.SC/200636,50000
HITS/2020/B.COM/200632,50000
HITS/2020/BBA/200631,50000
HITS/2020/B.SC/200627,50000
HITS/2020/BA/200624,50000
HITS/2020/B.SC/200621,50000
HITS/2020/B.COM/200614,50000
HITS/2020/BA/200612,50000
HITS/2020/B.SC/200611,50000
HITS/2020/BBA/200605,50000
HITS/2020/BBA/200591,50000
HITS/2020/BA/200590,50000
HITS/2020/BBA/200589,50000
HITS/2020/B.SC/200581,50000
HITS/2020/BBA/200578,50000
HITS/2020/B.COM/200577,50000
HITS/2020/BA/200574,50000
HITS/2020/BBA/200567,50000
HITS/2020/B.SC/200562,50000
HITS/2020/BCA/200560,50000
HITS/2020/BA/200559,50000
HITS/2020/B.SC/200553,50000
HITS/2020/BA/200538,50000
HITS/2020/B.COM/200537,50000
HITS/2020/BA/200532,50000
HITS/2020/BCA/200526,50000
HITS/2020/B.COM/200523,50000
HITS/2020/B.COM/200519,50000
HITS/2020/B.SC/200510,50000
HITS/2020/B.SC/200509,50000
HITS/2020/BBA/200506,50000
HITS/2020/BBA/200505,50000
HITS/2020/BCA/200502,50000
HITS/2020/B.COM/200475,50000
HITS/2020/B.SC/200473,50000
HITS/2020/B.SC/200469,50000
HITS/2020/BA/200459,50000
HITS/2020/B.SC/200458,50000
HITS/2020/B.SC/200446,50000
HITS/2020/B.SC/200443,50000
HITS/2020/BBA/200436,50000
HITS/2020/BCA/200428,50000
HITS/2020/BBA/200419,50000
HITS/2020/B.SC/200414,50000
HITS/2020/BBA/200411,50000
HITS/2020/B.SC/200410,50000
HITS/2020/BA/200409,50000
HITS/2020/BCA/200401,50000
HITS/2020/B.SC/200397,50000
HITS/2020/BBA/200393,50000
HITS/2020/BBA/200380,50000
HITS/2020/B.SC/200378,50000
HITS/2020/B.SC/200376,50000
HITS/2020/B.SC/200374,50000
HITS/2020/BBA/200369,50000
HITS/2020/B.SC/200368,50000
HITS/2020/B.SC/200367,50000
HITS/2020/B.SC/200366,50000
HITS/2020/BA/200362,50000
HITS/2020/BA/200361,50000
HITS/2020/BBA/200354,50000
HITS/2020/BA/200349,50000
HITS/2020/B.SC/200342,50000
HITS/2020/BCA/200338,50000
HITS/2020/BBA/200337,50000
HITS/2020/B.SC/200336,50000
HITS/2020/B.SC/200333,50000
HITS/2020/B.SC/200329,50000
HITS/2020/BBA/200326,50000
HITS/2020/BBA/200322,50000
HITS/2020/BA/200319,50000
HITS/2020/BBA/200312,50000
HITS/2020/B.SC/200310,50000
HITS/2020/BBA/200308,50000
HITS/2020/B.SC/200301,50000
HITS/2020/BBA/200296,50000
HITS/2020/B.SC/200290,50000
HITS/2020/B.SC/200284,50000
HITS/2020/BA/200283,50000
HITS/2020/BCA/200282,50000
HITS/2020/B.SC/200281,50000
HITS/2020/B.SC/200275,50000
HITS/2020/BBA/200274,50000
HITS/2020/B.SC/200272,50000
HITS/2020/B.SC/200271,50000
HITS/2020/B.SC/200258,50000
HITS/2020/B.SC/200257,50000
HITS/2020/BBA/200254,50000
HITS/2020/BA/200251,50000
HITS/2020/B.SC/200250,50000
HITS/2020/B.COM/200249,50000
HITS/2020/BA/200248,50000
HITS/2020/BBA/200247,50000
HITS/2020/BBA/200244,50000
HITS/2020/B.COM/200242,50000
HITS/2020/BBA/200239,50000
HITS/2020/B.SC/200237,50000
HITS/2020/BCA/200230,50000
HITS/2020/B.SC/200228,50000
HITS/2020/B.COM/200226,50000
HITS/2020/BBA/200216,50000
HITS/2020/BBA/200209,50000
HITS/2020/BCA/200203,50000
HITS/2020/BCA/200200,50000
HITS/2020/B.SC/200195,50000
HITS/2020/BCA/200194,50000
HITS/2020/BBA/200188,50000
HITS/2020/BBA/200187,50000
HITS/2020/B.SC/200185,50000
HITS/2020/BA/200183,50000
HITS/2020/B.SC/200180,50000
HITS/2020/B.SC/200177,50000
HITS/2020/BBA/200173,50000
HITS/2020/BA/200171,50000
HITS/2020/BBA/200170,50000
HITS/2020/BBA/200165,50000
HITS/2020/BA/200140,50000
HITS/2020/BA/200129,50000
HITS/2020/B.SC/200128,50000
HITS/2020/B.SC/200122,50000
HITS/2020/BBA/200121,50000
HITS/2020/BBA/200120,50000
HITS/2020/B.SC/200119,50000
HITS/2020/B.SC/200115,50000
HITS/2020/B.SC/200112,50000
HITS/2020/B.SC/200109,50000
HITS/2020/BA/200106,50000
HITS/2020/BA/200105,50000
HITS/2020/B.SC/200104,50000
HITS/2020/B.COM/200101,50000
HITS/2020/BBA/200099,50000
HITS/2020/BA/200098,50000
HITS/2020/B.COM/200097,50000
HITS/2020/BA/200096,50000
HITS/2020/B.SC/200092,50000
HITS/2020/B.SC/200091,50000
HITS/2020/BBA/200089,50000
HITS/2020/BBA/200087,50000
HITS/2020/BA/200086,50000
HITS/2020/BA/200077,50000
HITS/2020/BBA/200076,50000
HITS/2020/B.SC/200074,50000
HITS/2020/B.SC/200072,50000
HITS/2020/BA/200071,50000
HITS/2020/BA/200067,50000
HITS/2020/B.SC/200066,50000
HITS/2020/B.SC/200065,50000
HITS/2020/B.COM/200064,50000
HITS/2020/BA/200061,50000
HITS/2020/BBA/200060,50000
HITS/2020/BBA/200058,50000
HITS/2020/B.SC/200056,50000
HITS/2020/BBA/200055,50000
HITS/2020/B.SC/200052,50000
HITS/2020/B.SC/200049,50000
HITS/2020/BBA/200046,50000
HITS/2020/BBA/200045,50000
HITS/2020/BCA/200044,50000
HITS/2020/BBA/200043,50000
HITS/2020/BCA/200041,50000
HITS/2020/BBA/200040,50000
HITS/2020/B.SC/200037,50000
HITS/2020/B.SC/200036,50000
HITS/2020/BBA/200035,50000
HITS/2020/B.SC/200034,50000
HITS/2020/B.SC/200027,50000
HITS/2020/BBA/200020,50000
HITS/2020/B.SC/200019,50000
HITS/2020/B.SC/200012,50000
